DATE,T10YIE,T5YIFR
2013-06-11,2.07,2.31
2013-06-12,2.04,2.27
2013-06-13,2.04,2.28
2013-06-14,2.05,2.28
2013-06-17,2.04,2.28
2013-06-18,2.06,2.28
2013-06-19,2.04,2.25
2013-06-20,1.95,2.16
2013-06-21,1.93,2.2
2013-06-24,1.93,2.24
2013-06-25,1.96,2.27
2013-06-26,1.95,2.23
2013-06-27,1.99,2.25
2013-06-28,1.99,2.22
2013-07-01,2.02,2.24
2013-07-02,2.04,2.26
2013-07-03,2.04,2.25
2013-07-04,,
2013-07-05,2.07,2.27
2013-07-08,2.07,2.27
2013-07-09,2.06,2.26
2013-07-10,2.06,2.25
2013-07-11,2.04,2.26
2013-07-12,2.06,2.28
2013-07-15,2.1,2.34
2013-07-16,2.14,2.39
2013-07-17,2.14,2.38
2013-07-18,2.18,2.47
2013-07-19,2.21,2.51
2013-07-22,2.22,2.53
2013-07-23,2.2,2.5
2013-07-24,2.17,2.47
2013-07-25,2.17,2.51
2013-07-26,2.15,2.47
2013-07-29,2.16,2.51
2013-07-30,2.17,2.52
2013-07-31,2.22,2.57
2013-08-01,2.26,2.58
2013-08-02,2.21,2.51
2013-08-05,2.25,2.58
2013-08-06,2.28,2.62
2013-08-07,2.26,2.59
2013-08-08,2.24,2.58
2013-08-09,2.24,2.57
2013-08-12,2.24,2.57
